date,mean_temp,max_temp,max_temp_time,min_temp,min_temp_time,sum_rain,sun_time,mean_humid,area
2022-05-1,10.1,13.8,0,6.2,0,0.0,0.0,66,青森
2022-05-2,9.8,15.0,0,5.4,0,0.0,9.1,62,青森
2022-05-3,10.9,16.1,0,6.2,0,3.0,5.4,62,青森
2022-05-4,14.3,20.1,0,9.5,0,0.0,8.8,60,青森
2022-05-5,12.6,17.8,0,7.1,0,--,12.0,74,青森
2022-05-6,15.0,22.2,0,7.4,0,--,13.4,64,青森
2022-05-7,16.2,22.7,0,10.0,0,10.5,9.8,66,青森
2022-05-8,12.5,17.6,0,8.3,0,0.0,11.2,56,青森
2022-05-9,13.2,19.7,0,5.7,0,--,13.2,48,青森
2022-05-10,14.7,23.6,0,6.1,0,--,13.0,42,青森
2022-05-11,13.7,19.6,0,7.0,0,--,13.4,63,青森
2022-05-12,15.7,21.4,0,12.4,0,--,6.2,78,青森
2022-05-13,15.3,19.4,0,13.2,0,0.0,0.9,84,青森
2022-05-14,14.7,24.0,0,11.8,0,0.0,2.3,78,青森
2022-05-15,13.1,16.8,0,8.9,0,3.0,7.4,66,青森
2022-05-16,13.4,20.5,0,6.1,0,--,13.8,64,青森
2022-05-17,14.3,22.8,0,8.8,0,--,10.9,56,青森
2022-05-18,15.2,21.8,0,7.3,0,--,13.9,57,青森
2022-05-19,16.1,23.2,0,10.3,0,0.0,4.4,64,青森
2022-05-20,16.8,24.8,0,12.3,0,0.0,8.8,73,青森
2022-05-21,16.0,22.0,0,10.5,0,0.0,8.5,75,青森
2022-05-22,15.8,17.4,0,14.7,0,5.5,0.2,86,青森
2022-05-23,16.3,21.0,0,13.7,0,0.0,5.3,81,青森
2022-05-24,17.3,23.7,0,14.2,0,0.0,7.6,75,青森
2022-05-25,17.9,26.0,0,12.1,0,0.0,12.8,73,青森
2022-05-26,17.1,21.0,0,13.2,0,--,10.2,80,青森
2022-05-27,15.8,18.4,0,13.1,0,34.5,0.5,94,青森
2022-05-28,15.1,19.4,0,12.8,0,7.0,4.3,83,青森
2022-05-29,16.8,21.5,0,12.3,0,0.0,12.9,72,青森
2022-05-30,16.2,23.2,0,10.6,0,--,13.1,68,青森
2022-05-31,14.0,15.3,0,12.8,0,5.5,0.0,84,青森
2022-05-1,8.0,9.3,0,6.6,0,14.5,0.0,87,盛岡
2022-05-2,9.3,15.2,0,4.0,0,0.0,8.2,68,盛岡
2022-05-3,8.6,14.0,0,2.5,0,0.0,10.2,71,盛岡
2022-05-4,13.4,21.4,0,6.6,0,0.0,9.0,64,盛岡
2022-05-5,17.3,27.2,0,8.1,0,0.0,11.7,56,盛岡
2022-05-6,18.6,28.3,0,8.8,0,0.0,13.0,57,盛岡
2022-05-7,18.1,24.3,0,12.6,0,4.5,8.8,74,盛岡
2022-05-8,12.6,17.1,0,7.9,0,0.0,10.7,56,盛岡
2022-05-9,12.0,18.7,0,5.4,0,0.0,11.5,59,盛岡
2022-05-10,14.5,24.6,0,2.8,0,--,13.3,50,盛岡
2022-05-11,16.7,24.5,0,5.8,0,0.0,12.6,64,盛岡
2022-05-12,18.8,24.3,0,14.2,0,--,6.2,75,盛岡
2022-05-13,18.0,22.1,0,16.6,0,7.0,0.2,93,盛岡
2022-05-14,16.1,20.9,0,11.1,0,3.0,1.9,84,盛岡
2022-05-15,13.0,17.7,0,7.2,0,0.5,6.7,60,盛岡
2022-05-16,12.9,20.2,0,4.5,0,0.0,10.8,70,盛岡
2022-05-17,15.5,20.9,0,11.4,0,--,4.9,73,盛岡
2022-05-18,16.1,24.0,0,7.6,0,--,13.4,58,盛岡
2022-05-19,17.5,25.2,0,7.8,0,0.0,8.5,52,盛岡
2022-05-20,18.4,24.8,0,12.7,0,--,5.4,58,盛岡
2022-05-21,18.0,26.3,0,10.6,0,0.5,6.6,63,盛岡
2022-05-22,16.0,19.2,0,13.6,0,5.5,0.7,87,盛岡
2022-05-23,16.3,21.1,0,12.2,0,0.0,4.1,74,盛岡
2022-05-24,18.2,25.5,0,11.2,0,--,11.4,68,盛岡
2022-05-25,20.2,28.1,0,10.8,0,--,13.5,67,盛岡
2022-05-26,20.2,25.9,0,16.1,0,0.0,6.8,70,盛岡
2022-05-27,17.4,19.7,0,14.0,0,49.5,2.2,91,盛岡
2022-05-28,14.9,18.2,0,12.8,0,2.5,2.2,80,盛岡
2022-05-29,19.4,25.4,0,13.1,0,--,13.3,67,盛岡
2022-05-30,16.6,23.1,0,11.5,0,--,10.5,74,盛岡
2022-05-31,13.3,15.0,0,12.3,0,16.0,0.0,91,盛岡
2022-05-1,9.4,11.0,0,7.4,0,16.5,0.0,86,秋田
2022-05-2,9.8,13.6,0,5.1,0,0.0,12.3,68,秋田
2022-05-3,10.0,14.2,0,5.3,0,0.0,5.8,75,秋田
2022-05-4,13.6,18.1,0,8.5,0,0.0,10.6,69,秋田
2022-05-5,16.9,24.2,0,9.8,0,--,13.0,57,秋田
2022-05-6,18.1,28.5,0,11.1,0,--,13.2,55,秋田
2022-05-7,16.9,25.1,0,10.5,0,17.0,10.7,68,秋田
2022-05-8,12.7,15.5,0,10.1,0,0.0,12.1,65,秋田
2022-05-9,12.8,16.7,0,8.8,0,--,10.1,73,秋田
2022-05-10,13.1,18.7,0,6.2,0,--,13.5,68,秋田
2022-05-11,17.8,26.0,0,9.4,0,--,12.3,48,秋田
2022-05-12,19.4,25.0,0,14.7,0,0.0,6.9,61,秋田
2022-05-13,21.0,27.2,0,17.3,0,1.5,3.0,74,秋田
2022-05-14,15.4,19.4,0,12.5,0,8.5,0.0,86,秋田
2022-05-15,13.7,17.0,0,9.5,0,1.5,9.6,70,秋田
2022-05-16,14.5,20.7,0,8.2,0,--,12.2,55,秋田
2022-05-17,14.9,20.0,0,9.8,0,--,8.2,61,秋田
2022-05-18,15.2,21.3,0,7.7,0,--,13.7,56,秋田
2022-05-19,17.2,22.7,0,11.5,0,0.0,5.4,57,秋田
2022-05-20,18.3,22.3,0,14.4,0,0.0,8.9,67,秋田
2022-05-21,19.7,24.8,0,13.5,0,0.0,5.2,50,秋田
2022-05-22,19.3,22.6,0,16.5,0,0.0,3.0,63,秋田
2022-05-23,17.4,20.9,0,14.9,0,0.0,5.2,72,秋田
2022-05-24,17.3,21.2,0,14.2,0,0.0,9.9,77,秋田
